"GR113-003","GR113-005","GR113-006","GR113-010","GR113-015","GR113-016","GR113-018","GR113-020","GR113-021","GR113-022","GR113-023","GR113-024","GR113-025","GR113-026","GR113-027","GR113-028","GR113-029","GR113-030","GR113-031","GR113-032","GR113-033","GR113-034","GR113-035","GR113-036","GR113-038","GR113-039","GR113-040","GR113-041","GR113-042","GR113-043","GR113-044","GR113-045","GR113-046","GR113-048","GR113-049","GR113-050","GR113-051","GR113-052","GR113-055","GR113-056","GR113-057","GR113-059","GR113-060","GR113-062","GR113-063","GR113-065","GR113-066","GR113-067","GR113-068","GR113-069","GR113-070","GR113-071","GR113-073","GR113-074","GR113-075","GR113-077","GR113-078","GR113-083","GR113-084","GR113-085","GR113-086","GR113-087","GR113-088","GR113-089","GR113-090","GR113-091","GR113-092","GR113-094","GR113-095","GR113-096","GR113-100","GR113-102","GR113-103","GR113-106","GR113-107","GR113-108","GR113-109","GR113-110","GR113-111","GR113-114","GR113-115","GR113-116","GR113-118","GR113-119","GR113-120","GR113-121","GR113-122","GR113-123","GR113-125","GR113-126","GR113-128","GR113-129","GR113-130","GR113-132","GR113-133","GR113-135","Other","Combine-GR113-097"
753,20,12,2931,630,551,471,746,1280,925,4502,2115,3406,338,13082,782,3431,329,852,1199,2321,1143,1280,1325,90,1707,1917,1012,8,5729,1322,432,5930,331,12,30,2040,6986,262,3141,348,8575,288,4674,14163,120,71,5299,10168,2329,10369,482,749,713,340,14,3298,38,549,292,9843,55,1397,2778,234,35,175,1614,1462,289,3719,52,40,1,79,973,813,2465,25837,3277,104,170,2632,28,421,144,3451,1461,1863,2164,1003,464,51,28,358,189,33,59
718,26,16,2918,616,516,512,754,1205,938,4314,1952,3348,303,12452,768,3538,323,823,1172,2296,1083,1402,1295,82,1666,1961,1029,7,5620,1320,384,5810,321,17,44,2122,7238,248,2955,341,8577,274,4600,14087,102,64,5426,10235,2401,10513,484,773,747,367,14,3338,31,530,283,9582,71,1451,2696,242,30,170,1634,1498,259,3757,56,46,0,79,990,719,2586,25049,3069,81,125,2661,38,285,117,3274,1372,1901,2133,919,388,37,25,337,188,44,66
757,23,16,3203,669,562,546,825,1265,1032,4435,2222,3503,322,13200,812,3536,345,843,1242,2388,1190,1330,1421,95,1797,2064,1032,10,5991,1428,429,6183,357,18,35,2232,8319,294,3184,375,9441,324,4796,15234,89,80,5684,10900,2515,11321,501,891,768,408,35,3769,42,579,283,10508,55,1451,2903,281,36,171,1726,1580,313,3815,61,46,3,78,960,830,2703,25919,3304,95,108,2679,40,203,177,3569,1404,1822,1969,957,466,31,16,347,218,47,66
786,27,15,3192,670,532,499,832,1222,939,4296,2092,3370,302,12797,737,3475,365,807,1176,2458,1175,1266,1377,94,1649,2020,1068,6,5854,1391,417,6477,384,12,43,2330,9069,268,3319,392,9742,362,5001,15622,113,75,5711,11422,2496,11863,524,900,776,364,89,3786,42,594,296,10827,47,1579,2977,224,31,165,1656,1604,310,3894,75,46,1,91,900,814,3000,26945,3175,93,99,2724,49,145,272,3584,1503,1712,1768,932,375,40,25,332,221,44,60
830,29,10,3798,659,584,575,825,1230,999,4409,2112,3542,326,13501,811,3605,336,831,1211,2490,1208,1376,1410,104,1680,1953,1101,6,6039,1451,498,7163,416,27,48,2603,10182,291,3615,379,10668,410,5536,17586,106,80,6668,12653,2912,12630,645,899,816,416,1336,5106,64,705,325,13148,55,1868,3482,297,30,150,1729,1712,311,4463,65,47,1,82,956,843,3409,29318,3095,68,106,2976,56,122,304,3706,1538,1698,1696,1050,361,38,18,373,235,80,80
910,33,13,4194,708,628,703,856,1225,944,4664,2148,3641,362,13774,799,3730,377,848,1270,2529,1223,1461,1431,105,1783,1999,1212,5,5960,1499,512,8053,467,13,51,2894,11638,302,3928,485,11638,426,5995,19113,121,97,7412,13673,3185,13576,660,911,837,472,3118,6887,93,823,378,15475,70,2145,3797,300,42,189,1888,1799,304,4894,64,58,3,92,968,893,3005,32327,2754,71,113,3070,41,146,359,3947,1810,1819,1799,1041,396,36,31,426,225,81,85
976,34,10,3559,670,557,556,728,1175,883,4111,2001,3085,324,12228,692,3205,300,778,1044,2236,1135,1229,1236,94,1615,1790,991,4,5342,1309,416,6809,413,14,51,2362,9477,266,3695,408,9864,347,5138,16279,102,68,6411,11796,2754,11679,569,865,758,358,1069,5333,61,662,352,13121,55,1858,3245,244,23,157,1593,1578,298,4275,56,43,0,79,874,862,2578,27673,2350,54,98,2618,33,120,317,3811,1639,1632,1583,769,355,37,21,370,211,75,69
1015,23,13,3723,711,596,566,851,1328,947,4498,2241,3530,335,13367,729,3669,392,886,1107,2402,1264,1353,1383,86,1730,1852,1099,15,6128,1464,464,7106,397,21,49,2430,9790,318,3707,440,10222,343,5338,17421,105,73,6911,12737,2909,12546,570,832,910,393,498,5103,68,716,316,14085,66,1856,3668,280,20,202,1774,1724,336,4526,63,51,0,96,1039,842,2674,29244,2764,75,127,2791,36,199,307,4163,1566,1941,1994,983,382,48,35,395,198,55,71
902,25,8,3342,658,522,535,742,1273,939,4342,2135,3389,308,12719,766,3395,348,818,1098,2356,1160,1346,1326,102,1646,1882,1108,7,5540,1337,454,6568,404,16,47,2229,8859,277,3381,396,9561,340,4872,15806,109,92,6347,11780,2645,11343,554,806,787,381,249,4629,65,681,304,12932,72,1668,3306,252,36,157,1740,1602,332,4161,67,46,2,91,1016,874,2551,26241,2830,81,117,2610,37,247,224,3915,1358,1932,1794,935,362,38,18,353,235,49,86
891,33,8,3204,650,542,557,827,1265,991,4487,2114,3403,282,13194,763,3562,352,850,1179,2389,1150,1352,1298,74,1700,1917,1060,12,5851,1326,454,6479,402,16,59,2196,8674,297,3424,380,9556,286,5023,15293,115,81,6253,11535,2638,11445,480,814,821,324,67,4042,44,590,273,12469,61,1570,3109,255,29,169,1772,1651,310,3976,55,41,2,88,952,855,2489,25773,3339,100,148,2740,52,386,186,3953,1420,1942,2024,1115,416,42,18,420,212,47,70
